newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Bloomington, IN",164,601.0,Bloomington,City of Bloomington,18,"Bloomington, IN M.S.A.",2300.0,Bloomington,171.0,4,80816,3072,,58.0,IN,244,2011
"Bloomington, IL",233,460.0,Bloomington-Normal,City of Bloomington,69,"Bloomington-Normal, IL M.S.A.",1231.0,Bloomington,49.0,1,76841,1740,,58.0,IL,361,2011
"Normal, IL",71,279.0,Bloomington-Normal,City of Normal,16,"Bloomington-Normal, IL M.S.A.",994.0,Normal,26.0,0,52655,1299,,19.0,IL,106,2011
"Boise , ID",384,809.0,Boise City-Nampa,City of Boise ,66,"Boise City-Nampa, ID M.S.A.",4347.0,Boise ,172.0,1,207945,5328,,59.0,ID,510,2011
"Nampa, ID",181,514.0,Boise City-Nampa,City of Nampa,37,"Boise City-Nampa, ID M.S.A.",1864.0,Nampa,97.0,0,82459,2475,,9.0,ID,227,2011
"Boston, MA",3014,3482.0,Boston-Cambridge-Quincy,"City of Boston, MA",271,"Boston-Cambridge-Quincy, MA-NH M.S.A.",14064.0,Boston MA,1899.0,63,621359,19445,,1904.0,MA,5252,2011
"Cambridge, MA",298,539.0,Boston-Cambridge-Quincy,"City of Cambridge, MA",24,"Boston-Cambridge-Quincy, MA-NH M.S.A.",2465.0,Cambridge MA,155.0,5,105803,3159,,152.0,MA,479,2011
"Quincy, MA",271,551.0,Boston-Cambridge-Quincy,"City of Quincy, MA",31,"Boston-Cambridge-Quincy, MA-NH M.S.A.",1087.0,Quincy MA,138.0,1,92834,1776,,91.0,MA,394,2011
"Newton, MA",59,212.0,Boston-Cambridge-Quincy,"City of Newton, MA",2,"Boston-Cambridge-Quincy, MA-NH M.S.A.",942.0,Newton MA,27.0,0,85665,1181,,19.0,MA,80,2011
"Framingham, MA",160,212.0,Boston-Cambridge-Quincy,"City of Framingham, MA",6,"Boston-Cambridge-Quincy, MA-NH M.S.A.",830.0,Framingham MA,84.0,0,68734,1126,,21.0,MA,187,2011
"Waltham, MA",135,191.0,Boston-Cambridge-Quincy,"City of Waltham, MA",15,"Boston-Cambridge-Quincy, MA-NH M.S.A.",639.0,Waltham MA,38.0,0,61002,868,,24.0,MA,174,2011
"Peabody, MA",100,212.0,Boston-Cambridge-Quincy,"City of Peabody, MA",9,"Boston-Cambridge-Quincy, MA-NH M.S.A.",996.0,Peabody MA,74.0,2,51563,1282,,13.0,MA,124,2011
"Boulder, CO",203,467.0,Boulder,City of Boulder,35,"Boulder, CO M.S.A.",1899.0,Boulder,125.0,2,99081,2491,,35.0,CO,275,2011
"Bowling Green, KY",73,462.0,Bowling Green,City of Bowling Green,31,"Bowling Green, KY M.S.A.",2127.0,Bowling Green,127.0,3,58468,2716,,60.0,KY,167,2011
"Bremerton, WA",146,397.0,Bremerton-Silverdale,City of Bremerton,41,"Bremerton-Silverdale, WA M.S.A.",1457.0,Bremerton,184.0,1,38321,2038,,53.0,WA,241,2011
"Bridgeport, CT",701,1540.0,Bridgeport-Stamford-Norwalk,City of Bridgeport,116,"Bridgeport-Stamford-Norwalk, CT M.S.A.",3025.0,Bridgeport,1042.0,20,144496,5607,,610.0,CT,1447,2011
"Stamford, CT",161,282.0,Bridgeport-Stamford-Norwalk,City of Stamford,32,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1498.0,Stamford,207.0,6,122870,1987,,190.0,CT,389,2011
"Norwalk, CT",218,297.0,Bridgeport-Stamford-Norwalk,City of Norwalk,15,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1443.0,Norwalk,174.0,3,85761,1914,,90.0,CT,326,2011
"Danbury, CT",53,343.0,Bridgeport-Stamford-Norwalk,City of Danbury,34,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1183.0,Danbury,62.0,1,81043,1588,,76.0,CT,164,2011
"Stratford, CT",77,309.0,Bridgeport-Stamford-Norwalk,City of Stratford,9,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1104.0,Stratford,128.0,1,51479,1541,,59.0,CT,146,2011
"Brownsville, TX",353,1009.0,Brownsville-Harlingen,City of Brownsville,37,"Brownsville-Harlingen, TX M.S.A.",7015.0,Brownsville,163.0,1,178706,8187,,109.0,TX,500,2011
"Harlingen, TX",250,880.0,Brownsville-Harlingen,City of Harlingen,18,"Brownsville-Harlingen, TX M.S.A.",3099.0,Harlingen,99.0,4,66214,4078,,65.0,TX,337,2011
"Brunswick, GA",176,366.0,Brunswick,City of Brunswick,5,"Brunswick, GA M.S.A.",850.0,Brunswick,45.0,2,15586,1261,,68.0,GA,251,2011
"Buffalo, NY",1634,4473.0,Buffalo-Niagara Falls,City of Buffalo,121,"Buffalo-Niagara Falls, NY M.S.A.",8711.0,Buffalo,1121.0,36,262484,14305,,1459.0,NY,3250,2011
"Cheektowaga Town, NY",83,362.0,Buffalo-Niagara Falls,City of Cheektowaga Town,10,"Buffalo-Niagara Falls, NY M.S.A.",2294.0,Cheektowaga Town,97.0,2,79194,2753,,80.0,NY,175,2011
"Tonawanda, NY",23,41.0,Buffalo-Niagara Falls,City of Tonawanda,1,"Buffalo-Niagara Falls, NY M.S.A.",338.0,Tonawanda,11.0,0,15198,390,,2.0,NY,26,2011
"Niagara Falls, NY",372,849.0,Buffalo-Niagara Falls,City of Niagara Falls,31,"Buffalo-Niagara Falls, NY M.S.A.",1904.0,Niagara Falls,188.0,4,50419,2941,,174.0,NY,581,2011
"Burlington, NC",285,880.0,Burlington,City of Burlington,14,"Burlington, NC M.S.A.",2668.0,Burlington,121.0,2,50597,3669,,104.0,NC,405,2011
"Canton, OH",303,1854.0,Canton-Massillon,City of Canton,57,"Canton-Massillon, OH M.S.A.",2683.0,Canton,250.0,12,73060,4787,,438.0,OH,810,2011
"Massillon, OH",35,348.0,Canton-Massillon,City of Massillon,15,"Canton-Massillon, OH M.S.A.",832.0,Massillon,29.0,0,32173,1209,,37.0,OH,87,2011
"Cape Coral, FL",160,1023.0,Cape Coral-Fort Myers,City of Cape Coral,14,"Cape Coral-Fort Myers, FL M.S.A.",2855.0,Cape Coral,112.0,3,156408,3990,,58.0,FL,235,2011
"Fort Myers, FL",548,667.0,Cape Coral-Fort Myers,City of Fort Myers,32,"Cape Coral-Fort Myers, FL M.S.A.",2153.0,Fort Myers,198.0,20,63147,3018,,170.0,FL,770,2011
"Cape Girardeau, MO",142,394.0,Cape Girardeau-Jackson,"City of Cape Girardeau, MO",15,"Cape Girardeau-Jackson, MO-IL M.S.A.",2017.0,Cape Girardeau MO,62.0,1,38079,2473,,94.0,MO,252,2011
"Jackson, MO",22,62.0,Cape Girardeau-Jackson,"City of Jackson, MO",1,"Cape Girardeau-Jackson, MO-IL M.S.A.",266.0,Jackson MO,12.0,0,13808,340,,1.0,MO,24,2011
"Casper, WY",70,287.0,Casper,City of Casper,10,"Casper, WY M.S.A.",1693.0,Casper,77.0,1,55761,2057,,22.0,WY,103,2011
"Cedar Rapids, IA",229,1099.0,Cedar Rapids,City of Cedar Rapids,41,"Cedar Rapids, IA M.S.A.",3566.0,Cedar Rapids,214.0,2,126988,4879,,86.0,IA,358,2011
"Champaign, IL",570,586.0,Champaign-Urbana,City of Champaign,56,"Champaign-Urbana, IL M.S.A.",1599.0,Champaign,96.0,1,81299,2281,,105.0,IL,732,2011
"Urbana, IL",87,382.0,Champaign-Urbana,City of Urbana,35,"Champaign-Urbana, IL M.S.A.",1055.0,Urbana,27.0,1,41374,1464,,74.0,IL,197,2011
"Charleston, WV",362,635.0,Charleston,City of Charleston,23,"Charleston, WV M.S.A.",2234.0,Charleston,140.0,5,51466,3009,,120.0,WV,510,2011
"CharlotteMecklenburg, NC",2901,8536.0,Charlotte-Gastonia-Rock Hill,"City of Charlotte-Mecklenburg, NC",218,"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",21371.0,CharlotteMecklenburg NC,2101.0,56,789478,32008,,1612.0,NC,4787,2011
"Gastonia, NC",254,951.0,Charlotte-Gastonia-Rock Hill,"City of Gastonia, NC",37,"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",3198.0,Gastonia NC,214.0,4,72651,4363,,171.0,NC,466,2011
"Rock Hill, NC",289,537.0,Charlotte-Gastonia-Rock Hill,"City of Rock Hill, SC",46,"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",2298.0,Rock Hill SC,161.0,4,66924,2996,,71.0,NC,410,2011
"Concord, NC",46,452.0,Charlotte-Gastonia-Rock Hill,"City of Concord, NC",8,"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",2528.0,Concord NC,131.0,2,80069,3111,,37.0,NC,93,2011
"Charlottesville, VA",96,114.0,Charlottesville,City of Charlottesville,27,"Charlottesville, VA M.S.A.",1252.0,Charlottesville,101.0,1,43994,1467,,59.0,VA,183,2011
"Chattanooga, TN",1015,2503.0,Chattanooga,"City of Chattanooga, TN",36,"Chattanooga, TN-GA M.S.A.",7338.0,Chattanooga TN,794.0,24,169187,10635,,385.0,TN,1460,2011
"Cheyenne, WY",94,255.0,Cheyenne,City of Cheyenne,26,"Cheyenne, WY M.S.A.",1734.0,Cheyenne,60.0,2,59944,2049,,25.0,WY,147,2011
"Chicago, IL",12408,26420.0,Chicago-Joliet-Naperville,"City of Chicago, IL2",,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",72373.0,Chicago IL,19446.0,431,2703713,118239,,13975.0,IL,,2011
"Joliet, IL",392,939.0,Chicago-Joliet-Naperville,"City of Joliet, IL",30,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",2751.0,Joliet IL,171.0,8,147877,3861,,87.0,IL,517,2011
"Naperville, IL",82,300.0,Chicago-Joliet-Naperville,"City of Naperville, IL",4,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",1768.0,Naperville IL,42.0,2,142280,2110,,24.0,IL,112,2011
"Elgin, IL",122,555.0,Chicago-Joliet-Naperville,"City of Elgin, IL",78,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",1425.0,Elgin IL,88.0,5,108514,2068,,82.0,IL,287,2011
"Gary, IL",234,2618.0,Chicago-Joliet-Naperville,"City of Gary, IN",47,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",1926.0,Gary IN,794.0,30,80704,5338,,328.0,IL,639,2011
"Evanston, IL",95,403.0,Chicago-Joliet-Naperville,"City of Evanston, IL",4,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",1669.0,Evanston IL,54.0,3,74710,2126,,76.0,IL,178,2011
"Arlington Heights, IL",24,170.0,Chicago-Joliet-Naperville,"City of Arlington Heights, IL",5,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",892.0,Arlington Heights IL,21.0,2,75327,1083,,17.0,IL,48,2011
"Schaumburg, IL",26,238.0,Chicago-Joliet-Naperville,"City of Schaumburg, IL",14,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",2056.0,Schaumburg IL,64.0,0,74450,2358,,23.0,IL,63,2011
"Skokie, IL",87,325.0,Chicago-Joliet-Naperville,"City of Skokie, IL",13,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",1323.0,Skokie IL,75.0,2,64979,1723,,39.0,IL,141,2011
"Des Plaines, IL",49,137.0,Chicago-Joliet-Naperville,"City of Des Plaines, IL",6,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",619.0,Des Plaines IL,39.0,1,58540,795,,14.0,IL,70,2011
"Hoffman Estates, IL",37,119.0,Chicago-Joliet-Naperville,"City of Hoffman Estates, IL",15,"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",538.0,Hoffman Estates IL,25.0,0,52051,682,,16.0,IL,68,2011
"Chico, CA",111,487.0,Chico,City of Chico,37,"Chico, CA M.S.A.",1337.0,Chico,291.0,5,87200,2115,,92.0,CA,245,2011
"Cincinnati, OH",1050,6674.0,Cincinnati-Middletown,"City of Cincinnati, OH",183,"Cincinnati-Middletown, OH-KY-IN M.S.A.",12512.0,Cincinnati OH,1276.0,61,297160,20462,,1773.0,OH,3067,2011
"Middletown, OH",226,1309.0,Cincinnati-Middletown,"City of Middletown, OH",39,"Cincinnati-Middletown, OH-KY-IN M.S.A.",2949.0,Middletown OH,111.0,4,48730,4369,,95.0,OH,364,2011
"Clarksville, TN",686,1333.0,Clarksville,"City of Clarksville, TN",61,"Clarksville, TN-KY M.S.A.",2666.0,Clarksville TN,218.0,8,134128,4217,,128.0,TN,883,2011
"Cleveland, TN",364,437.0,Cleveland,City of Cleveland,21,"Cleveland, TN M.S.A.",1735.0,Cleveland,88.0,2,41657,2260,,50.0,TN,437,2011
"Cleveland, OH",1842,10706.0,Cleveland-Elyria-Mentor,City of Cleveland,354,"Cleveland-Elyria-Mentor, OH M.S.A.",10524.0,Cleveland,4093.0,74,397106,25323,,3156.0,OH,5426,2011
"Elyria, OH",86,703.0,Cleveland-Elyria-Mentor,City of Elyria,18,"Cleveland-Elyria-Mentor, OH M.S.A.",1478.0,Elyria,71.0,2,54573,2252,,86.0,OH,192,2011
"Mentor, OH",10,159.0,Cleveland-Elyria-Mentor,City of Mentor,9,"Cleveland-Elyria-Mentor, OH M.S.A.",910.0,Mentor,58.0,0,47194,1127,,24.0,OH,43,2011
"College Station, TX",224,651.0,College Station-Bryan,City of College Station,31,"College Station-Bryan, TX M.S.A.",2289.0,College Station,53.0,1,95832,2993,,32.0,TX,288,2011
"Bryan, TX",323,681.0,College Station-Bryan,City of Bryan,22,"College Station-Bryan, TX M.S.A.",2130.0,Bryan,95.0,2,77804,2906,,78.0,TX,425,2011
"Colorado Springs, CO",1071,3323.0,Colorado Springs,City of Colorado Springs,319,"Colorado Springs, CO M.S.A.",11375.0,Colorado Springs,1168.0,26,423680,15866,,449.0,CO,1865,2011
"Columbia, MO",377,798.0,Columbia,City of Columbia,37,"Columbia, MO M.S.A.",3323.0,Columbia,142.0,2,108894,4263,,166.0,MO,582,2011
"Columbus, GA",465,3342.0,Columbus,"City of Columbus, GA",40,"Columbus, GA-AL M.S.A.1",8059.0,Columbus GA,1049.0,15,192385,12450,,413.0,GA,933,2011
"Columbus, IN",56,303.0,Columbus,City of Columbus,7,"Columbus, IN M.S.A.",2087.0,Columbus,207.0,1,44286,2597,,20.0,IN,84,2011
"Columbus , OH",1289,15169.0,Columbus,City of Columbus ,565,"Columbus, OH M.S.A.",30259.0,Columbus ,3615.0,87,787609,49043,,3244.0,OH,5185,2011
"Corpus Christi, TX",1411,2668.0,Corpus Christi,City of Corpus Christi,194,"Corpus Christi, TX M.S.A.",11762.0,Corpus Christi,467.0,12,311637,14897,,370.0,TX,1987,2011
"Corvallis, OR",43,287.0,Corvallis,City of Corvallis,13,"Corvallis, OR M.S.A.",1421.0,Corvallis,45.0,0,55042,1753,,15.0,OR,71,2011
"Crestview, FL",75,198.0,Crestview-Fort Walton Beach-Destin,City of Crestview,13,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",605.0,Crestview,23.0,0,21264,826,,18.0,FL,106,2011
"Fort Walton Beach, FL",60,121.0,Crestview-Fort Walton Beach-Destin,City of Fort Walton Beach,7,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",689.0,Fort Walton Beach,43.0,3,19773,853,,22.0,FL,92,2011
"Cumberland, MD",95,319.0,Cumberland,"City of Cumberland, MD",16,"Cumberland, MD-WV M.S.A.1",1081.0,Cumberland MD,25.0,0,21057,1425,,42.0,MD,153,2011
"Dallas, TX",3703,18727.0,Dallas-Fort Worth-Arlington,City of Dallas,428,"Dallas-Fort Worth-Arlington, TX M.S.A.",35148.0,Dallas,7984.0,133,1223021,61859,,4066.0,TX,8330,2011
"Fort Worth, TX",2904,10058.0,Dallas-Fort Worth-Arlington,City of Fort Worth,350,"Dallas-Fort Worth-Arlington, TX M.S.A.",22617.0,Fort Worth,2442.0,48,756803,35117,,1267.0,TX,4569,2011
"Arlington, TX",1176,4388.0,Dallas-Fort Worth-Arlington,City of Arlington,136,"Dallas-Fort Worth-Arlington, TX M.S.A.",11757.0,Arlington,1063.0,22,373128,17208,,540.0,TX,1874,2011
"Plano, TX",242,1193.0,Dallas-Fort Worth-Arlington,City of Plano,40,"Dallas-Fort Worth-Arlington, TX M.S.A.",5182.0,Plano,389.0,5,265309,6764,,142.0,TX,429,2011
"Irving, TX",330,1603.0,Dallas-Fort Worth-Arlington,City of Irving,25,"Dallas-Fort Worth-Arlington, TX M.S.A.",4590.0,Irving,601.0,8,220841,6794,,151.0,TX,514,2011
"Carrollton, TX",106,896.0,Dallas-Fort Worth-Arlington,City of Carrollton,4,"Dallas-Fort Worth-Arlington, TX M.S.A.",2152.0,Carrollton,274.0,3,121603,3322,,93.0,TX,206,2011
"Denton, TX",201,565.0,Dallas-Fort Worth-Arlington,City of Denton,53,"Dallas-Fort Worth-Arlington, TX M.S.A.",2632.0,Denton,118.0,2,115769,3315,,55.0,TX,311,2011
"McKinney, TX",163,626.0,Dallas-Fort Worth-Arlington,City of McKinney,33,"Dallas-Fort Worth-Arlington, TX M.S.A.",2085.0,McKinney,115.0,1,133876,2826,,44.0,TX,241,2011
"Richardson, TX",88,680.0,Dallas-Fort Worth-Arlington,City of Richardson,9,"Dallas-Fort Worth-Arlington, TX M.S.A.",1934.0,Richardson,194.0,0,101311,2808,,76.0,TX,173,2011
"Dalton, GA",53,254.0,Dalton,City of Dalton,9,"Dalton, GA M.S.A.",996.0,Dalton,54.0,0,33564,1304,,28.0,GA,90,2011
"Danville, IL",208,793.0,Danville,City of Danville,50,"Danville, IL M.S.A.",1366.0,Danville,47.0,3,33126,2206,,74.0,IL,335,2011
"Danville, VA",67,464.0,Danville,City of Danville,28,"Danville, VA M.S.A.",1546.0,Danville,70.0,7,43569,2080,,64.0,VA,166,2011
"Davenport, IA",481,1140.0,Davenport-Moline-Rock Island,"City of Davenport, IA1",53,"Davenport-Moline-Rock Island, IA-IL M.S.A.1",3529.0,Davenport IA,239.0,5,100207,4908,,113.0,IA,652,2011
"Moline, IA",159,277.0,Davenport-Moline-Rock Island,"City of Moline, IL",34,"Davenport-Moline-Rock Island, IA-IL M.S.A.1",1242.0,Moline IL,68.0,0,43614,1587,,18.0,IA,211,2011
"Rock Island, IA",222,256.0,Davenport-Moline-Rock Island,"City of Rock Island, IL",14,"Davenport-Moline-Rock Island, IA-IL M.S.A.1",894.0,Rock Island IL,85.0,2,39135,1235,,52.0,IA,290,2011
"Dayton, OH",586,3121.0,Dayton,City of Dayton,98,"Dayton, OH M.S.A.",4569.0,Dayton,633.0,33,141631,8323,,638.0,OH,1355,2011
"Decatur, AL",119,815.0,Decatur,City of Decatur1,19,"Decatur, AL M.S.A.1",1131.0,Decatur,163.0,3,55951,2109,,56.0,AL,197,2011
"Decatur, IL",333,1140.0,Decatur,City of Decatur,14,"Decatur, IL M.S.A.",1581.0,Decatur,114.0,10,76351,2835,,124.0,IL,481,2011
"Daytona Beach, FL",559,994.0,Deltona-Daytona Beach-Ormond Beach,City of Daytona Beach,37,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",2899.0,Daytona Beach,375.0,3,61836,4268,,236.0,FL,835,2011
"Ormond Beach, FL",236,249.0,Deltona-Daytona Beach-Ormond Beach,City of Ormond Beach,7,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",1090.0,Ormond Beach,58.0,1,38657,1397,,23.0,FL,267,2011
"Denver, CO",2135,4868.0,Denver-Aurora-Broomfield,City of Denver,396,"Denver-Aurora-Broomfield, CO M.S.A.",14040.0,Denver,3587.0,34,610612,22495,,1143.0,CO,3708,2011
"Aurora, CO",752,2144.0,Denver-Aurora-Broomfield,City of Aurora,183,"Denver-Aurora-Broomfield, CO M.S.A.",6861.0,Aurora,870.0,9,330740,9875,,504.0,CO,1448,2011
"Broomfield, CO",17,81.0,Denver-Aurora-Broomfield,City of Broomfield,6,"Denver-Aurora-Broomfield, CO M.S.A.",974.0,Broomfield,46.0,1,56862,1101,,7.0,CO,31,2011
"Des Moines, IA",742,2493.0,Des Moines-West Des Moines,City of Des Moines,103,"Des Moines-West Des Moines, IA M.S.A.",7400.0,Des Moines,834.0,8,204498,10727,,216.0,IA,1069,2011
